user_id,timestamp,original_text,clean_text,top_label,threat_score,safe_score,tier,status,note
user_2400,2026-05-20 14:40:39,Got 23/35 playing Name the Nicktoons Show! (images). Try to top that: http://url_removed #sporcle,got 2335 playing name the nicktoons show! images. try to top that sporcle,suspicious activity,0.8362,0.1638,HIGH,FLAGGED,
user_2625,2026-05-20 14:40:39,"Gonna go shooting tomorrow, then new merch designs, web design work, then episode 21 of the Inspired Disorder Podcast.","gonna go shooting tomorrow, then new merch designs, web design work, then episode 21 of the inspired disorder podcast.",suspicious activity,0.8355,0.1645,HIGH,FLAGGED,Verified: Contains high-risk forensic keywords.
user_1784,2026-05-20 14:40:39,"@anonymous yes vodafone and on android! Did you send ""ACT 3G"" to 111 / 116 ?",anonymous yes vodafone and on android! did you send act 3g to 111 116 ?,suspicious activity,0.8349,0.1651,HIGH,FLAGGED,
user_3022,2026-05-20 14:40:39,"@anonymous I bet this would go over very, very well in Austin.. @anonymous @anonymous At a bare minimum, you'd sell two tickets to me!","anonymous i bet this would go over very, very well in austin.. anonymous anonymous at a bare minimum, you'd sell two tickets to me!",suspicious activity,0.8299,0.1701,HIGH,FLAGGED,
user_2212,2026-05-20 14:40:39,@anonymous We crashed hard under T-Day traffic. Fingers crossed you do better! :),anonymous we crashed hard under t-day traffic. fingers crossed you do better!,suspicious activity,0.8222,0.1778,HIGH,FLAGGED,
user_1089,2026-05-20 14:40:39,Audioboo: Council leader Chris Roberts on the effects of yesterday's strike in Greenwich #n30 http://url_removed,audioboo council leader chris roberts on the effects of yesterday's strike in greenwich n30,suspicious activity,0.8052,0.1948,HIGH,FLAGGED,
user_3747,2026-05-20 14:40:39,My man @anonymous is ready to GO OFF if Broncos D holds here,my man anonymous is ready to go off if broncos d holds here,suspicious activity,0.9984,0.0016,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1045,2026-05-20 14:40:39,"#haterstotheleft im a wishful thinker with the worst intentions, this will be the last chance you get to drop my name","haterstotheleft im a wishful thinker with the worst intentions, this will be the last chance you get to drop my name",suspicious activity,0.9955,0.0045,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0097,2026-05-20 14:40:39,"Bad bus! Smelly bus! Bad, bad bus. No biscuit!","bad bus! smelly bus! bad, bad bus. no biscuit!",suspicious activity,0.9932,0.0068,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_2461,2026-05-20 14:40:39,Just got a Skype call from 'NOTIFICATION' - no idea what it was so declined. Sounds a bit dodgy. Anyone had the same?,just got a skype call from 'notification' - no idea what it was so declined. sounds a bit dodgy. anyone had the same?,suspicious activity,0.9852,0.0148,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1510,2026-05-20 14:40:39,@anonymous IMO not a good sign going forward.,anonymous imo not a good sign going forward.,suspicious activity,0.9739,0.0261,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0752,2026-05-20 14:40:39,"Ugh, it's damn annoying when an RSS feed has its URL changed, and no heads-up was given. I guess we should dump RSS / Atom feeds now?","ugh, it's damn annoying when an rss feed has its url changed, and no heads-up was given. i guess we should dump rss atom feeds now?",suspicious activity,0.9736,0.0264,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1692,2026-05-20 14:40:39,"Is Sarah Palin constantly drunk? If not, is she that dense or that evil?  kids cartoons have more accurate accounts of Paul Revere's ride.","is sarah palin constantly drunk? if not, is she that dense or that evil? kids cartoons have more accurate accounts of paul revere's ride.",suspicious activity,0.9735,0.0265,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1478,2026-05-20 14:40:39,Cigar smell is absolutely DISGUSTING!! GROSS GROSS GROSS!!,cigar smell is absolutely disgusting!! gross gross gross!!,suspicious activity,0.9704,0.0296,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0439,2026-05-20 14:40:39,Is it a bad thing the bartender at the bowling alley knows my name?,is it a bad thing the bartender at the bowling alley knows my name?,suspicious activity,0.9699,0.0301,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_2097,2026-05-20 14:40:39,"I am, apparently, in a really crappy mood","i am, apparently, in a really crappy mood",suspicious activity,0.9674,0.0326,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3338,2026-05-20 14:40:39,Bill Dance would be even more interesting if he were horribly racist.,bill dance would be even more interesting if he were horribly racist.,suspicious activity,0.9643,0.0357,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1019,2026-05-20 14:40:39,played You Don't Know Jack (360) in the last 24 hours. http://url_removed,played you don't know jack 360 in the last 24 hours.,suspicious activity,0.9625,0.0375,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0506,2026-05-20 14:40:39,I just ousted @anonymous as the mayor of Hawaiian Island Twisters on @anonymous! http://url_removed,i just ousted anonymous as the mayor of hawaiian island twisters on anonymous!,suspicious activity,0.9613,0.0387,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1164,2026-05-20 14:40:39,realised last night that I can no longer do a shoulder stand!  #justrealisedimgettingold,realised last night that i can no longer do a shoulder stand! justrealisedimgettingold,suspicious activity,0.959,0.041,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1511,2026-05-20 14:40:39,@anonymous just thought the world should know. I've been neglecting twitter. Needed to make a grand reentry!,anonymous just thought the world should know. i've been neglecting twitter. needed to make a grand reentry!,suspicious activity,0.9555,0.0445,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_2654,2026-05-20 14:40:39,"@anonymous the devil went down to georgia, not iowa. #lyinhussy","anonymous the devil went down to georgia, not iowa. lyinhussy",suspicious activity,0.9533,0.0467,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0009,2026-05-20 14:40:39,Ugh. I hate hate hate getting blood drawn.,ugh. i hate hate hate getting blood drawn.,suspicious activity,0.9516,0.0484,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0762,2026-05-20 14:40:39,@anonymous Wicked!! I hope it was worth the two hour wait :P,anonymous wicked!! i hope it was worth the two hour wait p,threatening and dangerous,0.9484,0.0516,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3760,2026-05-20 14:40:39,@anonymous so much rage! My friend isn't around to tell me what I can and can't delete! This isn't his main computer anymore but!!!!,anonymous so much rage! my friend isn't around to tell me what i can and can't delete! this isn't his main computer anymore but!!!!,suspicious activity,0.9475,0.0525,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_4126,2026-05-20 14:40:39,Drunk Guy Trips At A #Mets Game [VIDEO] - BuzzFeed http://url_removed,drunk guy trips at a mets game video - buzzfeed,suspicious activity,0.9374,0.0626,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3253,2026-05-20 14:40:39,Ferris Bueller on the telly - everything Jeffrey Jones says sounds wrong wrong wrong (in hindsight).,ferris bueller on the telly - everything jeffrey jones says sounds wrong wrong wrong in hindsight.,suspicious activity,0.9348,0.0652,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_2340,2026-05-20 14:40:39,Oh 95. Some days I loathe you. (@anonymous Fallowfield Bus Station) http://url_removed,oh 95. some days i loathe you. anonymous fallowfield bus station,suspicious activity,0.9327,0.0673,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_4068,2026-05-20 14:40:39,@anonymous my pet peeve is not walking away when I KNOW a movie is so bad that I shouldn't finish it!,anonymous my pet peeve is not walking away when i know a movie is so bad that i shouldn't finish it!,suspicious activity,0.9211,0.0789,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0158,2026-05-20 14:40:39,"Sorry to say, but the starving artist stereotype sucks, is stupid and I hate it.","sorry to say, but the starving artist stereotype sucks, is stupid and i hate it.",suspicious activity,0.9183,0.0817,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_4190,2026-05-20 14:40:39,"The individual must struggle to keep from being overwhelmed by the tribe. If you try it you will be lonely often, and sometimes frightened","the individual must struggle to keep from being overwhelmed by the tribe. if you try it you will be lonely often, and sometimes frightened",suspicious activity,0.9096,0.0904,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3540,2026-05-20 14:40:39,@anonymous I got stung by customs this year :(,anonymous i got stung by customs this year,suspicious activity,0.9055,0.0945,MEDIUM,FLAGGED,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0167,2026-05-20 14:40:39,I feel funny. Funny strange not funny haha.,i feel funny. funny strange not funny haha.,suspicious activity,0.7745,0.2255,MEDIUM,FLAGGED,
user_2772,2026-05-20 14:40:39,"@anonymous Sorry I missed part of the sugar.  That was a much, much larger pile at one point, thought I got it all.  Sorry.","anonymous sorry i missed part of the sugar. that was a much, much larger pile at one point, thought i got it all. sorry.",suspicious activity,0.7734,0.2266,MEDIUM,FLAGGED,
user_0890,2026-05-20 14:40:39,@anonymous I really wasn't this time! But I am guilty of doing that in the past,anonymous i really wasn't this time! but i am guilty of doing that in the past,suspicious activity,0.7564,0.2436,MEDIUM,FLAGGED,
user_0221,2026-05-20 14:40:39,since its lighter now we don't turn the lights on in our office until 4pm. #windows,since its lighter now we don't turn the lights on in our office until 4pm. windows,suspicious activity,0.7381,0.2619,MEDIUM,FLAGGED,
user_3601,2026-05-20 14:40:39,@anonymous they acknowledged africa but still claimed an arab heritage. I have 0 issues with that honestly,anonymous they acknowledged africa but still claimed an arab heritage. i have 0 issues with that honestly,suspicious activity,0.7319,0.2681,MEDIUM,FLAGGED,
user_3671,2026-05-20 14:40:39,"@anonymous  Na I would rather be the nurse behind them. Or a shrink, my ex said I was good at mind games! Lmao! ~marisa","anonymous na i would rather be the nurse behind them. or a shrink, my ex said i was good at mind games! lmao! marisa",suspicious activity,0.73,0.27,MEDIUM,FLAGGED,
user_0352,2026-05-20 14:40:39,"@anonymous's lecture was probably a mistake. Was feeling okay this morning, now feel crap again. May have to miss the videogames night tonight.","anonymous's lecture was probably a mistake. was feeling okay this morning, now feel crap again. may have to miss the videogames night tonight.",suspicious activity,0.7265,0.2735,MEDIUM,FLAGGED,
user_2579,2026-05-20 14:40:39,"Madolora was supposed to request reinstatement after sitting out his 1st year. He ""didn't check a box"". Worth 5 games? #rithockey #ncaasucks",madolora was supposed to request reinstatement after sitting out his 1st year. he didn't check a box. worth 5 games? rithockey ncaasucks,suspicious activity,0.7142,0.2858,MEDIUM,FLAGGED,
user_0150,2026-05-20 14:40:39,Im looking to rent a 3Br house in pgh. Any leads?,im looking to rent a 3br house in pgh. any leads?,suspicious activity,0.7043,0.2957,MEDIUM,FLAGGED,
user_2459,2026-05-20 14:40:39,Good to hear Richard Boulderstone discuss the complexities when assessing value of digitised resources at #impactconf2011 - not clear cut,good to hear richard boulderstone discuss the complexities when assessing value of digitised resources at impactconf2011 - not clear cut,suspicious activity,0.6933,0.3067,MEDIUM,FLAGGED,
user_1114,2026-05-20 14:40:39,Late as hell!  Oh well... (@anonymous Metrorail - Dadeland North Station) http://url_removed,late as hell! oh well... anonymous metrorail - dadeland north station,suspicious activity,0.6898,0.3102,MEDIUM,FLAGGED,
user_1591,2026-05-20 14:40:39,"@anonymous Come spend a summer in Southern humidity, it'll change your perspective. I hate it!","anonymous come spend a summer in southern humidity, it'll change your perspective. i hate it!",suspicious activity,0.6825,0.3175,MEDIUM,FLAGGED,
user_1322,2026-05-20 14:40:39,@anonymous we turned poor and my mom STILL orders our foot from neiman Marcus. RI diculous.,anonymous we turned poor and my mom still orders our foot from neiman marcus. ri diculous.,suspicious activity,0.6802,0.3198,MEDIUM,FLAGGED,
user_4097,2026-05-20 14:40:39,@anonymous just saw the full vid. It's funny and definitely couldve been a lot worse - I guess I tripped out at the clip of it,anonymous just saw the full vid. it's funny and definitely couldve been a lot worse - i guess i tripped out at the clip of it,suspicious activity,0.6703,0.3297,MEDIUM,FLAGGED,
user_2260,2026-05-20 14:40:39,@anonymous @anonymous Richard Herring says it's because he doesn't understand it and doesn't want to learn :D,anonymous anonymous richard herring says it's because he doesn't understand it and doesn't want to learn d,suspicious activity,0.6613,0.3387,MEDIUM,FLAGGED,
user_0110,2026-05-20 14:40:39,DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE #royalwedding,don't care don't care don't care don't care don't care don't care don't care don't care don't care don't care royalwedding,suspicious activity,0.6552,0.3448,MEDIUM,FLAGGED,
