user_id,timestamp,original_text,clean_text,top_label,threat_score,safe_score,tier,status,emotion,entities,note
user_1019,2026-05-22 18:52:00,played You Don't Know Jack (360) in the last 24 hours. http://url_removed,played you don't know jack 360 in the last 24 hours.,suspicious activity,0.9625,0.0375,MEDIUM,FLAGGED,surprise (0.77),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0506,2026-05-22 18:52:00,I just ousted @anonymous as the mayor of Hawaiian Island Twisters on @anonymous! http://url_removed,i just ousted anonymous as the mayor of hawaiian island twisters on anonymous!,suspicious activity,0.9613,0.0387,MEDIUM,FLAGGED,surprise (0.80),Hawaiian Island (LOC),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Hawaiian Island (LOC)
user_1164,2026-05-22 18:52:00,realised last night that I can no longer do a shoulder stand!  #justrealisedimgettingold,realised last night that i can no longer do a shoulder stand! justrealisedimgettingold,suspicious activity,0.959,0.041,MEDIUM,FLAGGED,surprise (0.84),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1511,2026-05-22 18:52:00,@anonymous just thought the world should know. I've been neglecting twitter. Needed to make a grand reentry!,anonymous just thought the world should know. i've been neglecting twitter. needed to make a grand reentry!,suspicious activity,0.9555,0.0445,MEDIUM,FLAGGED,sadness (0.50),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_2654,2026-05-22 18:52:00,"@anonymous the devil went down to georgia, not iowa. #lyinhussy","anonymous the devil went down to georgia, not iowa. lyinhussy",suspicious activity,0.9533,0.0467,MEDIUM,FLAGGED,neutral (0.67),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0009,2026-05-22 18:52:00,Ugh. I hate hate hate getting blood drawn.,ugh. i hate hate hate getting blood drawn.,suspicious activity,0.9516,0.0484,MEDIUM,FLAGGED,anger (0.64),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0762,2026-05-22 18:52:00,@anonymous Wicked!! I hope it was worth the two hour wait :P,anonymous wicked!! i hope it was worth the two hour wait p,threatening and dangerous,0.9484,0.0516,MEDIUM,FLAGGED,joy (0.71),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3760,2026-05-22 18:52:00,@anonymous so much rage! My friend isn't around to tell me what I can and can't delete! This isn't his main computer anymore but!!!!,anonymous so much rage! my friend isn't around to tell me what i can and can't delete! this isn't his main computer anymore but!!!!,suspicious activity,0.9475,0.0525,MEDIUM,FLAGGED,anger (0.98),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_4126,2026-05-22 18:52:00,Drunk Guy Trips At A #Mets Game [VIDEO] - BuzzFeed http://url_removed,drunk guy trips at a mets game video - buzzfeed,suspicious activity,0.9374,0.0626,MEDIUM,FLAGGED,neutral (0.48),"Mets (ORG), BuzzFeed (ORG)","AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Mets (ORG), BuzzFeed (ORG)"
user_3253,2026-05-22 18:52:00,Ferris Bueller on the telly - everything Jeffrey Jones says sounds wrong wrong wrong (in hindsight).,ferris bueller on the telly - everything jeffrey jones says sounds wrong wrong wrong in hindsight.,suspicious activity,0.9348,0.0652,MEDIUM,FLAGGED,anger (0.52),"Ferris Bueller (PER), Jeffrey Jones (PER)","AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Ferris Bueller (PER), Jeffrey Jones (PER)"
user_2340,2026-05-22 18:52:00,Oh 95. Some days I loathe you. (@anonymous Fallowfield Bus Station) http://url_removed,oh 95. some days i loathe you. anonymous fallowfield bus station,suspicious activity,0.9327,0.0673,MEDIUM,FLAGGED,sadness (0.69),Fallowfield Bus Station (LOC),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Fallowfield Bus Station (LOC)
user_4068,2026-05-22 18:52:00,@anonymous my pet peeve is not walking away when I KNOW a movie is so bad that I shouldn't finish it!,anonymous my pet peeve is not walking away when i know a movie is so bad that i shouldn't finish it!,suspicious activity,0.9211,0.0789,MEDIUM,FLAGGED,anger (0.40),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0158,2026-05-22 18:52:00,"Sorry to say, but the starving artist stereotype sucks, is stupid and I hate it.","sorry to say, but the starving artist stereotype sucks, is stupid and i hate it.",suspicious activity,0.9183,0.0817,MEDIUM,FLAGGED,anger (0.41),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_4190,2026-05-22 18:52:00,"The individual must struggle to keep from being overwhelmed by the tribe. If you try it you will be lonely often, and sometimes frightened","the individual must struggle to keep from being overwhelmed by the tribe. if you try it you will be lonely often, and sometimes frightened",suspicious activity,0.9096,0.0904,MEDIUM,FLAGGED,fear (0.99),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3540,2026-05-22 18:52:00,@anonymous I got stung by customs this year :(,anonymous i got stung by customs this year,suspicious activity,0.9055,0.0945,MEDIUM,FLAGGED,anger (0.54),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0167,2026-05-22 18:52:00,I feel funny. Funny strange not funny haha.,i feel funny. funny strange not funny haha.,suspicious activity,0.7745,0.2255,MEDIUM,FLAGGED,surprise (0.98),none detected,
user_2772,2026-05-22 18:52:00,"@anonymous Sorry I missed part of the sugar.  That was a much, much larger pile at one point, thought I got it all.  Sorry.","anonymous sorry i missed part of the sugar. that was a much, much larger pile at one point, thought i got it all. sorry.",suspicious activity,0.7734,0.2266,MEDIUM,FLAGGED,sadness (0.77),none detected,
user_0890,2026-05-22 18:52:00,@anonymous I really wasn't this time! But I am guilty of doing that in the past,anonymous i really wasn't this time! but i am guilty of doing that in the past,suspicious activity,0.7564,0.2436,MEDIUM,FLAGGED,sadness (0.67),none detected,
user_0221,2026-05-22 18:52:00,since its lighter now we don't turn the lights on in our office until 4pm. #windows,since its lighter now we don't turn the lights on in our office until 4pm. windows,suspicious activity,0.7381,0.2619,MEDIUM,FLAGGED,neutral (0.41),none detected,
user_3601,2026-05-22 18:52:00,@anonymous they acknowledged africa but still claimed an arab heritage. I have 0 issues with that honestly,anonymous they acknowledged africa but still claimed an arab heritage. i have 0 issues with that honestly,suspicious activity,0.7319,0.2681,MEDIUM,FLAGGED,neutral (0.80),none detected,
user_3671,2026-05-22 18:52:00,"@anonymous  Na I would rather be the nurse behind them. Or a shrink, my ex said I was good at mind games! Lmao! ~marisa","anonymous na i would rather be the nurse behind them. or a shrink, my ex said i was good at mind games! lmao! marisa",suspicious activity,0.73,0.27,MEDIUM,FLAGGED,joy (0.43),none detected,
user_0352,2026-05-22 18:52:00,"@anonymous's lecture was probably a mistake. Was feeling okay this morning, now feel crap again. May have to miss the videogames night tonight.","anonymous's lecture was probably a mistake. was feeling okay this morning, now feel crap again. may have to miss the videogames night tonight.",suspicious activity,0.7265,0.2735,MEDIUM,FLAGGED,sadness (0.97),none detected,
user_2579,2026-05-22 18:52:00,"Madolora was supposed to request reinstatement after sitting out his 1st year. He ""didn't check a box"". Worth 5 games? #rithockey #ncaasucks",madolora was supposed to request reinstatement after sitting out his 1st year. he didn't check a box. worth 5 games? rithockey ncaasucks,suspicious activity,0.7142,0.2858,MEDIUM,FLAGGED,sadness (0.46),Madolora (PER), | Entities: Madolora (PER)
user_0150,2026-05-22 18:52:00,Im looking to rent a 3Br house in pgh. Any leads?,im looking to rent a 3br house in pgh. any leads?,suspicious activity,0.7043,0.2957,MEDIUM,FLAGGED,surprise (0.47),none detected,
user_2459,2026-05-22 18:52:00,Good to hear Richard Boulderstone discuss the complexities when assessing value of digitised resources at #impactconf2011 - not clear cut,good to hear richard boulderstone discuss the complexities when assessing value of digitised resources at impactconf2011 - not clear cut,suspicious activity,0.6933,0.3067,MEDIUM,FLAGGED,joy (0.91),Richard Boulderstone (PER), | Entities: Richard Boulderstone (PER)
user_1114,2026-05-22 18:52:00,Late as hell!  Oh well... (@anonymous Metrorail - Dadeland North Station) http://url_removed,late as hell! oh well... anonymous metrorail - dadeland north station,suspicious activity,0.6897,0.3102,MEDIUM,FLAGGED,surprise (0.77),"Metrorail (ORG), Dadeland North Station (LOC)"," | Entities: Metrorail (ORG), Dadeland North Station (LOC)"
user_1591,2026-05-22 18:52:00,"@anonymous Come spend a summer in Southern humidity, it'll change your perspective. I hate it!","anonymous come spend a summer in southern humidity, it'll change your perspective. i hate it!",suspicious activity,0.6825,0.3175,MEDIUM,FLAGGED,anger (0.65),none detected,
user_1322,2026-05-22 18:52:00,@anonymous we turned poor and my mom STILL orders our foot from neiman Marcus. RI diculous.,anonymous we turned poor and my mom still orders our foot from neiman marcus. ri diculous.,suspicious activity,0.6802,0.3198,MEDIUM,FLAGGED,joy (0.72),Marcus (PER), | Entities: Marcus (PER)
user_4097,2026-05-22 18:52:00,@anonymous just saw the full vid. It's funny and definitely couldve been a lot worse - I guess I tripped out at the clip of it,anonymous just saw the full vid. it's funny and definitely couldve been a lot worse - i guess i tripped out at the clip of it,suspicious activity,0.6703,0.3297,MEDIUM,FLAGGED,surprise (0.48),none detected,
user_2260,2026-05-22 18:52:00,@anonymous @anonymous Richard Herring says it's because he doesn't understand it and doesn't want to learn :D,anonymous anonymous richard herring says it's because he doesn't understand it and doesn't want to learn d,suspicious activity,0.6613,0.3387,MEDIUM,FLAGGED,neutral (0.61),Richard Herring (PER), | Entities: Richard Herring (PER)
user_0110,2026-05-22 18:52:00,DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE #royalwedding,don't care don't care don't care don't care don't care don't care don't care don't care don't care don't care royalwedding,suspicious activity,0.6552,0.3448,MEDIUM,FLAGGED,anger (0.88),none detected,
